Gene Name,UTR5 Length,UTR5 GC Count,CDS Length,CDS GC Count,UTR3 Length,UTR3 GC Count,Transcript Size
Sdhaf4,56,42,315,156,312,115,683
Fam135a,404,244,4521,1880,611,174,5536
Col9a1,245,133,2766,1566,823,301,3834
Col19a1,159,102,3411,1836,696,274,4266
Lmbrd1,127,84,1614,749,2712,1086,4453
Adgrb3,261,127,4569,2109,618,218,5448
4931408C20Rik,34,16,4146,1913,138,58,4318
Gm597,54,22,2691,1238,142,52,2887
Phf3,29,15,6078,2761,1460,527,7567
Ptp4a1,704,339,522,224,2903,1033,4129
Gm5698,0,0,726,375,0,0,726
4931428L18Rik,698,353,726,369,341,122,1765
Lgsn,50,24,1692,858,195,81,1937
Pih1d3,101,43,657,284,693,206,1451
Khdrbs2,204,148,1050,525,1027,299,2281
Gm5415,467,213,1437,657,1705,568,3609
Prim2,181,103,1518,737,276,105,1975
Rab23,436,266,714,326,3172,1420,4322
Bag2,104,84,633,342,1123,517,1860
Zfp451,212,160,1680,770,9984,3947,11876
Bend6,339,249,846,395,1302,526,2487
Dst,0,0,22221,11128,1058,404,23279
Ccdc115,334,195,543,328,828,366,1705
Imp4,74,48,876,499,4886,2233,5836
Ptpn18,59,35,1362,808,138,68,1559
Prss39,47,28,1104,597,116,59,1267
Cfc1,255,134,609,343,176,83,1040
Prss40,16,11,1098,575,161,76,1275
Amer3,129,94,2343,1332,1920,994,4392
Arhgef4,0,0,171,121,0,0,171
Fam168b,249,199,585,329,4196,2024,5030
Plekhb2,80,50,666,376,2533,1184,3279
Hs6st1,258,217,1236,778,2225,1151,3719
Uggt1,178,122,4656,2200,4199,2109,9033
Neurl3,70,42,765,481,1763,847,2598
Arid5a,79,55,1773,1053,2788,1504,4640
Kansl3,31,17,2712,1512,58,28,2801
Fer1l5,0,0,6117,3215,198,89,6315
Lman2l,38,25,1044,573,2296,1145,3378
Cnnm4,73,61,2316,1316,2158,1109,4547
Cnnm3,44,32,2142,1427,3007,1495,5193
Ankrd23,31,20,921,533,1012,583,1964
Gm42417,522,294,381,237,1353,739,2256
Ankrd39,260,155,552,343,1297,613,2109
Sema4c,490,304,2505,1432,897,488,3892
Fam178b,418,265,1572,888,296,161,2286
Cox5b,103,63,390,227,372,134,865
Actr1b,155,117,1131,619,1962,1050,3248
4933424G06Rik,75,40,804,369,241,134,1120
Zap70,154,91,1857,1113,234,133,2245
Tmem131,337,252,5634,2790,727,288,6698
Vwa3b,213,126,3666,1799,838,451,4717
Cnga3,370,187,1896,1014,1288,614,3554
Inpp4a,394,252,2820,1528,2477,1079,5691
Coa5,136,94,225,115,3502,1544,3863
Unc50,328,221,780,360,306,104,1414
Mgat4a,324,166,1608,727,5319,2359,7251
2010300C02Rik,526,417,3528,2021,580,290,4634
Tsga10,585,233,2094,943,721,282,3400
Lipt1,121,71,1122,545,242,96,1485
Mitd1,101,64,750,320,380,155,1231
Mrpl30,215,130,483,236,271,111,969
Lyg2,288,139,642,319,1634,722,2564
Lyg1,57,27,594,317,147,64,798
Txndc9,227,123,681,304,2473,1075,3381
Eif5b,280,201,3651,1578,3866,1631,7797
Rev1,211,166,3750,1729,301,100,4262
Aff3,44,37,3690,2078,2123,932,5857
Lonrf2,283,196,2265,1309,4384,1922,6932
Chst10,219,149,1125,552,1631,810,2975
Nms,137,72,462,230,402,149,1001
Pdcl3,2236,1021,723,381,955,338,3914
Npas2,556,339,2451,1326,1229,549,4236
Rpl31,93,60,378,190,578,233,1049
Tbc1d8,189,148,3405,1856,857,363,4451
Cnot11,341,239,1518,859,1623,705,3482
Rnf149,131,96,1185,679,1176,437,2492
Creg2,534,316,867,542,4690,2042,6091
Rfx8,55,39,1791,910,162,53,2008
Gm3646,155,54,162,79,35,18,352
Map4k4,0,0,3705,1943,213,125,3918
Il1r2,162,92,1233,598,24,6,1419
Il1r1,224,110,1731,750,3864,1696,5819
Il1rl2,66,32,1725,814,2117,972,3908
Il1rl1,352,159,1704,773,3246,1370,5302
Il18r1,380,194,1614,714,2164,921,4158
Il18rap,427,196,1845,855,2617,1153,4889
Slc9a4,435,212,2394,1186,1133,429,3962
Slc9a2,1300,855,2445,1286,1274,545,5019
Mfsd9,44,30,1401,788,1715,748,3160
Tmem182,155,78,690,355,1871,752,2716
Pou3f3,1378,868,1494,1061,4537,1860,7409
Mrps9,59,37,1173,590,186,78,1418
Gpr45,518,325,1122,623,2136,1021,3776
Tgfbrap1,565,298,2583,1387,2459,1210,5607
AI597479,54,39,699,346,2705,1095,3458
Fhl2,283,196,840,443,440,179,1563
Nck2,456,306,1143,673,1173,515,2772
Ecrg4,283,176,447,232,172,68,902
Uxs1,92,77,1263,617,3265,1271,4620
Tpp2,82,57,3789,1593,778,266,4649
Mettl21c,108,48,747,335,231,76,1086
Gm8251,183,65,19773,7528,80,27,20036
Tex30,602,350,678,265,80,27,1360
Poglut2,309,166,1509,697,541,197,2359
Bivm,433,234,1509,655,1628,605,3570
Ercc5,216,141,3513,1692,178,38,3907
Mettl21e,196,74,735,310,2280,887,3211
Gulp1,406,249,915,370,1817,524,3138
Col3a1,210,105,4395,2500,959,316,5564
Col5a2,368,183,4494,2507,1763,599,6625
Wdr75,356,195,2493,1098,104,31,2953
Gm5269,0,0,138,56,0,0,138
Slc40a1,319,176,1713,812,1338,479,3370
Dnah7b,0,0,12207,5436,111,31,12318
Dnah7c,21,16,12075,5333,111,33,12207
Slc39a10,587,391,2502,1148,2409,908,5498
Tmeff2,429,281,1125,545,1789,603,3343
Cavin2,260,139,1257,683,1538,533,3055
Nabp1,484,293,597,267,1757,594,2838
Myo1b,177,129,3411,1581,1179,441,4767
Stat4,487,252,2247,1002,248,101,2982
Stat1,333,195,2250,1102,2568,1110,5151
Gls,231,172,2025,983,2710,1150,4966
Nab1,489,399,1461,742,1924,689,3874
Nemp2,55,40,1266,621,2075,864,3396
Mfsd6,491,363,2328,1142,674,277,3493
Inpp1,335,216,1191,616,4241,1581,5767
Hibch,64,33,1158,512,608,221,1830
1700019D03Rik,397,250,321,158,2923,1097,3641
Mstn,126,49,1131,511,1448,470,2705
1700019A02Rik,35,21,441,176,170,54,646
Pms1,153,96,2754,1116,147,40,3054
Ormdl1,101,67,462,201,1347,506,1910
Osgepl1,219,108,1245,541,819,321,2283
Gm28551,360,174,1704,730,1078,368,3142
Asnsd1,445,231,1884,808,113,39,2442
Gm50478,0,0,300,135,0,0,300
Dnah7a,69,49,12075,5398,101,31,12245
Stk17b,192,115,1119,472,1982,696,3293
Hecw2,180,84,4737,2493,6346,2343,11263
Ccdc150,146,94,3333,1486,328,128,3807
Gtf3c3,57,41,2649,1154,1876,695,4582
Gm34066,355,163,303,154,167,67,825
Pgap1,102,68,2769,1171,7712,2918,10583
Ankrd44,221,160,2982,1483,2937,1170,6140
Sf3b1,115,77,3915,1736,2165,794,6195
Coq10b,105,75,579,274,150,62,834
Hspd1,248,194,1722,756,453,185,2423
Hspe1,278,199,309,135,187,66,774
Mob4,69,53,678,273,2093,746,2840
Rftn2,523,261,1503,781,1651,699,3677
Mars2,63,46,1761,992,9470,3342,11294
Boll,0,0,882,389,0,0,882
Plcl1,467,332,3291,1593,2822,999,6580
Hsfy2,59,25,1179,509,154,51,1392
Satb2,806,473,2202,1201,2797,1110,5805
1700066M21Rik,51,43,1098,528,1859,649,3008
Tyw5,640,411,948,413,259,60,1847
Maip1,445,283,876,451,2219,866,3540
Spats2l,139,88,1674,843,502,205,2315
Kctd18,142,92,1290,661,1080,459,2512
Sgo2a,344,223,3495,1393,1100,385,4939
Aox1,86,52,4002,2000,335,131,4423
Aox3,123,58,4008,1946,475,178,4606
Aox4,178,96,4011,1969,784,343,4973
Aox2,93,53,4038,2093,1640,656,5771
Bzw1,329,219,1260,561,2287,831,3876
Clk1,147,75,1452,611,197,49,1796
Ppil3,667,349,486,200,210,97,1363
Nif3l1,507,306,1131,570,2131,930,3769
Orc2,397,263,1731,704,1433,613,3561
Fam126b,240,124,1593,721,6852,2368,8685
Ndufb3,289,143,315,153,159,47,763
Flacc1,84,46,1152,504,304,135,1540
Cflar,164,87,1446,693,4962,2141,6572
Casp8,393,222,1443,681,749,302,2585
Trak2,392,217,2742,1427,3055,1296,6189
Stradb,424,268,1257,593,1279,542,2960
C2cd6,40,22,1674,733,417,142,2131
Tmem237,80,50,1242,627,547,159,1869
Mpp4,119,65,1908,991,318,123,2345
Als2,135,83,4956,2513,1251,607,6342
Cdk15,66,36,1302,681,109,55,1477
Fzd7,536,387,1719,1062,2277,994,4532
Gm973,168,92,3180,1650,247,97,3595
Sumo1,143,87,306,124,766,285,1215
Nop58,173,114,1611,656,7723,3131,9507
Bmpr2,1253,814,3117,1462,8529,3014,12899
Fam117b,158,123,1755,1062,3619,1441,5532
Ica1l,298,230,1296,627,2056,857,3650
Wdr12,361,163,1272,593,8379,3284,10012
Carf,127,55,2070,943,3266,1070,5463
Nbeal1,328,154,8067,3267,7336,2429,15731
Cyp20a1,63,50,1389,657,771,292,2223
Abi2,184,129,1341,670,4243,1659,5768
Raph1,215,171,3801,1973,6008,2262,10024
Cd28,116,65,657,321,3574,1404,4347
Ctla4,146,73,672,326,1115,424,1933
Icos,32,19,603,266,2606,1109,3241
Pard3b,419,327,3612,1886,4361,1941,8392
Nrp2,503,245,2796,1511,3058,1413,6357
Ino80d,281,142,3066,1696,10182,4140,13529
Ndufs1,242,146,2184,984,235,71,2661
Eef1b2,387,227,678,322,874,346,1939
Gpr1,556,250,1062,516,322,113,1940
Zdbf2,395,252,7497,3462,4631,1581,12523
Adam23,316,241,2490,1307,3620,1483,6426
Gm39653,0,0,546,258,559,226,1105
Dytn,301,152,1962,990,164,55,2427
Mdh1b,26,11,1503,707,190,75,1719
Fastkd2,165,82,2070,863,2251,952,4486
4933402D24Rik,62,28,504,242,1192,531,1758
Klf7,490,257,906,506,6266,2706,7662
Creb1,135,78,1026,494,99,36,1260
Mettl21a,749,395,657,325,1260,522,2666
Ccnyl1,46,32,876,370,2001,866,2923
Fzd5,872,595,1758,1104,4285,1942,6915
Plekhm3,360,203,2286,1173,5916,2775,8562
Akr1cl,214,91,969,458,578,252,1761
Cryge,36,21,525,312,70,20,631
Crygd,50,31,525,310,38,15,613
Crygc,184,100,525,303,74,25,783
Crygb,33,19,528,283,73,30,634
Cryga,36,15,525,307,64,26,625
D630023F18Rik,100,52,696,339,1384,520,2180
Idh1,208,128,1245,575,849,306,2302
Pikfyve,141,106,6159,2802,4937,2000,11237
Pth2r,339,215,1641,824,434,144,2414
Crygf,38,22,525,309,64,20,627
Map2,590,284,5487,2647,181,63,6258
Unc80,80,60,9981,5282,3552,1197,13613
Rpe,76,55,687,352,1929,644,2692
Kansl1l,202,152,2844,1190,1413,493,4459
Acadl,28,22,1293,641,595,202,1916
Myl1,76,41,453,229,274,113,803
Lancl1,297,204,1200,614,2964,1318,4461
Cps1,139,53,4503,2208,913,326,5555
Erbb4,0,0,3927,1880,7855,2823,11782
Ikzf2,143,66,1581,788,7554,2863,9278
Spag16,16,11,1920,902,190,60,2126
Vwc2l,804,392,669,311,3182,1290,4655
Bard1,339,218,2298,1113,3022,1260,5659
Abca12,328,152,7788,3600,1021,409,9137
Atic,106,75,1779,909,960,443,2845
Fn1,193,125,7434,4025,688,296,8315
Mreg,196,154,645,349,1443,616,2284
Pecr,98,47,912,473,176,78,1186
Tmem169,236,139,894,506,1798,706,2928
Xrcc5,120,70,2199,986,230,105,2549
Marchf4,1793,981,1230,709,1530,774,4553
Smarcal1,246,125,2733,1453,80,27,3059
Ankar,148,62,4398,1834,25,5,4571
Rpl37a,31,20,279,151,248,92,558
Igfbp2,77,52,918,603,312,157,1307
Igfbp5,745,391,816,494,4445,2135,6006
Tnp1,46,29,168,88,223,98,437
Tns1,2,2,5604,3306,4298,2254,9904
Rufy4,122,60,1692,945,27,16,1841
Cxcr2,148,75,1080,531,1818,782,3046
Cxcr1,374,170,1056,526,21,9,1451
Arpc2,122,95,903,413,414,163,1439
Gpbar1,50,31,990,607,35,21,1075
Aamp,115,75,1308,753,394,215,1817
Pnkd,26,18,1158,697,1753,968,2937
Tmbim1,8962,4738,930,482,1119,578,11011
Catip,347,185,1506,803,248,115,2101
Slc11a1,112,67,1647,939,556,269,2315
Ctdsp1,389,283,786,464,1701,910,2876
Vil1,72,43,2484,1367,568,252,3124
Usp37,373,148,2940,1296,1661,729,4974
Cnot9,380,230,900,444,1988,921,3268
Plcd4,321,158,2424,1205,232,112,2977
Zfp142,496,308,5532,3059,452,198,6480
Bcs1l,261,149,1257,652,372,171,1890
Rnf25,32,20,1371,748,76,37,1479
Stk36,258,131,3951,2227,1036,488,5245
Ttll4,406,247,3582,1825,6031,2643,10019
Cyp27a1,57,31,1602,874,233,107,1892
Prkag3,105,69,1470,836,1257,599,2832
Wnt6,254,193,1095,721,722,356,2071
Wnt10a,655,460,1254,819,559,295,2468
Cdk5r2,164,139,1110,783,1525,867,2799
Fev,209,152,714,484,567,305,1490
Cryba2,71,45,594,353,55,22,720
Cfap65,119,60,5544,2988,64,27,5727
Ihh,458,353,1236,766,774,418,2468
Slc23a3,35,22,1836,1054,188,87,2059
Cnppd1,600,312,1224,702,1845,868,3669
Retreg2,77,64,1626,963,858,447,2561
Zfand2b,197,146,774,437,345,200,1316
Abcb6,274,173,2529,1405,163,74,2966
Atg9a,524,352,2520,1459,1066,597,4110
Ankzf1,292,160,2247,1217,200,96,2739
Glb1l,251,145,1941,964,147,62,2339
Stk16,304,205,918,491,1654,814,2876
Tuba4a,99,61,1347,737,1394,696,2840
A630095N17Rik,46,23,237,118,365,149,648
Dnajb2,135,98,834,466,886,465,1855
Ptprn,86,58,2946,1760,522,298,3554
Resp18,108,59,528,274,112,48,748
Dnpep,303,221,1422,810,763,358,2488
Des,89,64,1410,839,1529,807,3028
Speg,143,97,9789,6195,869,474,10801
Gmppa,257,136,1263,719,172,103,1692
Asic4,133,89,1620,973,711,421,2464
Chpf,166,132,2325,1485,401,230,2892
Obsl1,137,104,5415,3378,127,66,5679
Tmem198,652,408,1083,686,721,422,2456
Inha,171,109,1101,669,203,103,1475
Stk11ip,139,88,3219,1866,1100,547,4458
Slc4a3,216,149,3684,2205,3282,1658,7182
Epha4,57,32,2961,1520,3310,1336,6328
Pax3,89,53,1455,820,1534,600,3078
Sgpp2,74,56,1065,563,2863,1295,4002
Farsb,17,11,1770,800,249,132,2036
BC035947,195,121,2088,1053,780,351,3063
Mogat1,147,81,1008,479,73,28,1228
Acsl3,459,281,2163,918,1328,509,3950
Utp14b,267,138,2343,1097,4783,1972,7393
Kcne4,265,132,513,285,1879,891,2657
Scg2,179,104,1854,916,482,158,2515
Ap1s3,120,79,465,189,2291,867,2876
Wdfy1,69,55,1233,673,3249,1346,4551
Mrpl44,115,72,1002,540,307,128,1424
Serpine2,208,154,1194,574,808,340,2210
Fam124b,280,146,1371,718,1204,496,2855
Cul3,169,145,2307,919,2233,751,4709
Gm45261,0,0,594,285,0,0,594
Dock10,0,0,6564,3025,634,201,7198
Nyap2,327,146,2151,1132,5023,1647,7501
Irs1,923,597,3696,2167,4525,1839,9144
Gm9747,970,397,315,152,1537,624,2822
Rhbdd1,327,163,948,492,2412,1102,3687
Col4a4,351,216,5049,3012,4708,1941,10108
Col4a3,369,227,5010,2862,3175,1223,8554
Mff,344,215,876,406,674,265,1894
Tm4sf20,44,24,681,304,783,288,1508
Gm47791,0,0,420,276,0,0,420
Agfg1,240,195,1680,836,6124,2341,8044
A030005L19Rik,66,34,342,221,398,161,806
A030014E15Rik,67,33,363,243,366,145,796
Gm6217,66,33,387,248,376,157,829
A030003K21Rik,66,33,387,247,377,158,830
Gm7544,66,34,357,235,405,192,828
Gm47955,0,0,486,323,153,67,639
Gm47959,66,35,501,342,366,161,933
Slc19a3,211,101,1467,698,1296,537,2974
Krtap28-10,63,33,360,231,534,179,957
Gm47969,460,225,330,220,225,101,1015
A030005K14Rik,70,39,369,247,654,306,1093
Krtap28-13,66,34,417,284,509,203,992
Ccl20,50,29,294,147,450,144,794
Daw1,18,8,1248,588,385,158,1651
Sphkap,189,121,4977,2438,2988,1112,8154
Pid1,275,199,654,342,1735,710,2664
Dner,493,335,2214,1245,925,310,3632
Trip12,125,76,6078,2740,3429,1386,9632
Fbxo36,32,22,567,278,302,156,901
Slc16a14,288,172,1539,806,1380,599,3207
AC167036.1,216,115,891,440,13,6,1120
C130026I21Rik,502,268,792,384,267,101,1561
AC167036.2,0,0,891,433,0,0,891
A530032D15Rik,485,261,636,307,371,156,1492
Gm7609,401,203,891,437,246,110,1538
AC147806.1,0,0,891,432,0,0,891
AC147806.2,198,109,999,485,1601,683,2798
Sp110,190,104,1338,667,393,182,1921
Sp140,457,251,1605,725,355,175,2417
Sp100,52,31,1776,789,880,412,2708
A630001G21Rik,253,123,690,321,1110,456,2053
Cab39,424,323,1026,446,2355,948,3805
Itm2c,383,225,810,474,1037,573,2230
4933407L21Rik,521,266,396,215,229,106,1146
Gpr55,181,96,984,515,2556,1263,3721
Spata3,103,54,579,328,418,199,1100
2810459M11Rik,100,80,864,607,2367,1164,3331
Psmd1,171,121,2862,1289,79,48,3112
Htr2b,326,159,1440,653,317,119,2083
Armc9,71,41,2454,1312,2602,1279,5127
B3gnt7,310,209,1194,654,1078,594,2582
Ncl,177,111,2124,949,5901,2454,8202
Nmur1,0,0,1287,735,0,0,1287
Tex44,42,23,1593,884,89,42,1724
Ptma,180,117,336,180,700,261,1216
Pde6d,198,144,453,216,508,236,1159
Cops7b,429,236,795,400,4159,1953,5383
Nppc,133,91,381,244,528,182,1042
Dis3l2,125,77,2613,1361,347,170,3085
Alppl2,148,73,1590,908,354,160,2092
Alpi,71,45,1665,947,601,293,2337
Akp3,0,0,1680,966,0,0,1680
Ecel1,373,228,2328,1401,332,191,3033
Prss56,180,100,1815,1150,185,84,2180
Chrnd,54,31,1563,873,1308,695,2925
Chrng,14,8,1560,913,1206,545,2780
Eif4e2,86,57,738,377,983,470,1807
Efhd1,87,52,723,441,1044,461,1854
Gigyf2,197,92,3876,1959,1651,741,5724
Kcnj13,134,68,1083,508,53,20,1270
Snorc,68,43,366,230,44,30,478
Ngef,256,137,2133,1184,720,401,3109
Neu2,339,171,1140,617,345,168,1824
Inpp5d,177,102,3576,1940,1184,602,4937
Atg16l1,187,128,1824,934,1119,583,3130
Sag,372,203,1212,637,135,64,1719
Dgkd,14,12,3663,1954,2018,1013,5695
Usp40,133,81,3441,1587,1475,676,5049
Ugt1a10,71,26,1593,763,580,234,2244
Ugt1a9,30,14,1587,753,573,232,2190
Ugt1a8,54,27,1593,772,580,234,2227
Ugt1a7c,57,31,1596,778,1578,627,3231
Ugt1a6b,128,65,1596,787,579,234,2303
Ugt1a6a,128,65,1596,788,573,232,2297
Ugt1a5,40,20,1590,778,573,232,2203
Ugt1a2,36,18,1602,783,573,232,2211
Dnajb3,104,79,729,422,218,86,1051
Ugt1a1,43,21,1608,796,573,232,2224
Mroh2a,212,101,5016,2712,2263,1133,7491
Hjurp,164,104,2004,1033,2710,1313,4878
Trpm8,38,21,3315,1664,793,384,4146
Spp2,189,99,612,322,127,49,928
Glrp1,180,85,525,301,1252,522,1957
Arl4c,557,425,579,342,2861,1331,3997
Sh3bp4,389,252,2889,1615,1717,847,4995
Agap1,624,448,2574,1487,8723,4389,11921
Gbx2,424,312,1047,674,664,282,2135
Asb18,0,0,1404,905,2458,1183,3862
Iqca,226,131,2490,1193,494,227,3210
Ackr3,134,79,1089,568,1842,856,3065
Cops8,569,326,630,327,1088,488,2287
Col6a3,235,121,8034,4445,732,320,9001
Mlph,193,124,1773,1018,2533,1314,4499
Prlh,0,0,261,165,15,7,276
Rab17,435,247,645,370,751,401,1831
Lrrfip1,19,15,1287,672,744,351,2050
Rbm44,85,43,3042,1320,724,250,3851
Ramp1,43,31,447,269,1835,923,2325
Ube2f,114,80,558,243,4982,2375,5654
Scly,58,40,1299,745,845,455,2202
Espnl,58,33,3018,1942,2369,1202,5445
Klhl30,193,115,1746,1049,1150,607,3089
Erfe,51,37,1023,653,1741,904,2815
Ilkap,78,66,1179,624,111,51,1368
Hes6,85,57,675,439,575,309,1335
Per2,170,120,3774,2190,1889,860,5833
Traf3ip1,72,61,1878,1017,1524,667,3474
Asb1,269,172,1011,578,1210,574,2490
Twist2,157,112,483,311,1885,904,2525
Hdac4,301,170,3231,1885,4568,2199,8100
Ndufa10,123,79,1068,562,829,412,2020
Olfr1416,143,79,939,498,3756,1497,4838
Olfr1415,162,89,936,489,1717,733,2815
Olfr1414,356,204,939,501,4722,2176,6017
Olfr1413,499,254,972,516,253,98,1724
Olfr1412,619,322,966,499,2078,815,3663
Olfr1411,668,357,972,536,261,87,1901
Olfr1410,959,489,969,517,5999,2547,7927
Olfr12,653,356,1002,547,2503,1049,4158
Cops9,43,29,174,90,221,106,438
Otos,319,171,270,155,115,68,704
Gpc1,287,228,1674,1046,2215,1192,4176
Ankmy1,94,43,3006,1640,143,75,3243
Dusp28,74,50,492,339,748,372,1314
Rnpepl1,188,152,2163,1366,986,559,3337
Capn10,498,298,2001,1181,403,201,2902
Gpr35,390,225,924,531,2900,1376,4214
Aqp12,69,42,873,525,146,85,1088
Kif1a,119,73,5094,2885,2993,1566,8206
Agxt,54,31,1245,710,254,132,1553
Mab21l4,281,176,1359,785,659,316,2299
Crocc2,0,0,4917,2976,2215,1146,7132
Sned1,148,106,4212,2469,4787,2283,9147
Mterf4,70,43,1041,514,255,123,1366
Pask,313,196,4152,2178,1314,528,5779
Ppp1r7,806,475,1086,508,8423,3930,10315
Ano7,125,75,2580,1452,1279,632,3984
Hdlbp,191,94,3807,1891,2233,1120,6231
Septin2,142,83,1086,500,2039,765,3267
Farp2,134,93,3198,1646,605,279,3937
Stk25,232,168,1281,700,2736,1270,4249
Bok,224,165,642,404,602,327,1468
Thap4,247,192,1710,955,3601,1729,5558
Atg4b,140,105,1182,613,2851,1403,4173
Dtymk,107,65,639,341,257,99,1003
Ing5,38,30,723,371,3772,1761,4533
D2hgdh,102,64,1608,912,1522,721,3232
Gal3st2,248,128,1191,643,1405,673,2844
Gal3st2b,126,57,1185,639,1411,679,2722
Gal3st2c,854,470,1191,639,7622,3198,9667
Neu4,156,91,1437,835,2918,1317,4511
Pdcd1,63,41,867,493,1000,520,1930
Fam174a,189,143,573,363,2698,1068,3460
St8sia4,310,183,1080,462,4000,1362,5390
Slco4c1,62,29,2169,950,2677,924,4908
Slco6c1,32,17,2121,814,594,189,2747
D1Ertd622e,357,245,624,330,39397,16206,40378
Ppip5k2,0,0,3372,1477,53,24,3425
Gin1,91,50,1557,668,398,103,2046
Pam,450,340,2937,1431,715,274,4102
Slco6d1,82,43,2052,783,194,56,2328
Cntnap5b,0,0,3879,1805,148,56,4027
Cdh20,510,287,2406,1252,1096,462,4012
Rnf152,575,363,612,350,7305,2944,8492
Pign,385,179,2796,1191,3578,1391,6759
Relch,225,147,3651,1708,452,137,4328
Tnfrsf11a,34,30,1878,1110,3115,1266,5027
Zcchc2,101,77,3468,1947,2799,1211,6368
Phlpp1,252,185,5064,2911,910,347,6226
Bcl2,1394,714,711,433,5086,2179,7191
Kdsr,76,49,999,507,4443,1746,5518
Vps4b,281,188,1335,605,3017,1141,4633
Serpinb5,189,95,1128,476,1355,494,2672
Serpinb12,134,63,1272,557,283,121,1689
Serpinb13,63,29,1170,542,374,130,1607
Serpinb3a,27,14,1164,474,429,144,1620
Serpinb3d,26,13,1164,467,26,15,1216
Serpinb3b,60,28,1164,473,429,143,1653
Serpinb3c,70,33,1161,478,428,142,1659
Serpinb11,449,190,1167,503,468,179,2084
Serpinb7,62,27,1143,494,682,231,1887
Serpinb2,97,42,1248,556,651,187,1996
Serpinb8,297,156,1125,522,3159,1221,4581
Cdh7,785,417,2358,1056,1802,617,4945
Cdh19,229,89,2313,952,1372,421,3914
Dsel,1661,798,3624,1388,474,164,5759
Cntnap5a,381,196,3915,1844,6649,2493,10945
Gm19965,210,85,2172,725,648,233,3030
B020011L13Rik,284,123,1239,442,1356,400,2879
